Année,Code INSEE région,Filière,Région,Part de la consommation nationale couverte (%),part_peryear_normalized,year_prodGWh,filiere_prodGWh
2018,93,Non-renewablee,Provence-Alpes-Côte d'Azur,1.2,0.010480349,538006,5638.49083
2018,93,Bioenergy,Provence-Alpes-Côte d'Azur,0.2,0.001746725,538006,939.7484716
2018,93,Solar,Provence-Alpes-Côte d'Azur,0.3,0.002620087,538006,1409.622707
2018,93,Wind,Provence-Alpes-Côte d'Azur,0,0,538006,0
2019,84,Non-renewablee,Auvergne-Rhône-Alpes,0.5,0.004401408,526537,2317.504401
2019,84,Hydro,Auvergne-Rhône-Alpes,5.7,0.050176056,526537,26419.55018
2019,84,Bioenergy,Auvergne-Rhône-Alpes,0.2,0.001760563,526537,927.0017606
2019,84,Nuclear,Auvergne-Rhône-Alpes,18.2,0.160211268,526537,84357.16021
2019,84,Wind,Auvergne-Rhône-Alpes,0.3,0.002640845,526537,1390.502641
2019,84,Solar,Auvergne-Rhône-Alpes,0.3,0.002640845,526537,1390.502641
2019,27,Hydro,Bourgogne-Franche-Comté,0.2,0.001760563,526537,927.0017606
2019,27,Solar,Bourgogne-Franche-Comté,0.1,0.000880282,526537,463.5008803
2019,27,Bioenergy,Bourgogne-Franche-Comté,0.1,0.000880282,526537,463.5008803
2019,27,Wind,Bourgogne-Franche-Comté,0.4,0.003521127,526537,1854.003521
2019,27,Nuclear,Bourgogne-Franche-Comté,0,0,526537,0
2019,27,Non-renewablee,Bourgogne-Franche-Comté,0.2,0.001760563,526537,927.0017606
2019,53,Solar,Bretagne,0.1,0.000880282,526537,463.5008803
2019,53,Wind,Bretagne,0.4,0.003521127,526537,1854.003521
2019,53,Hydro,Bretagne,0.1,0.000880282,526537,463.5008803
2019,53,Nuclear,Bretagne,0,0,526537,0
2019,53,Bioenergy,Bretagne,0.1,0.000880282,526537,463.5008803
2019,53,Non-renewablee,Bretagne,0.2,0.001760563,526537,927.0017606
2019,24,Nuclear,Centre-Val de Loire,15.2,0.133802817,526537,70452.1338
2019,24,Solar,Centre-Val de Loire,0.1,0.000880282,526537,463.5008803
2019,24,Bioenergy,Centre-Val de Loire,0.1,0.000880282,526537,463.5008803
2019,24,Wind,Centre-Val de Loire,0.5,0.004401408,526537,2317.504401
2019,24,Hydro,Centre-Val de Loire,0,0,526537,0
2019,24,Non-renewablee,Centre-Val de Loire,0.1,0.000880282,526537,463.5008803
2019,94,Nuclear,Corse,0,0,526537,0
2019,94,Wind,Corse,0,0,526537,0
2019,94,Solar,Corse,0,0,526537,0
2019,94,Non-renewablee,Corse,0.2,0.001760563,526537,927.0017606
2019,94,Hydro,Corse,0.1,0.000880282,526537,463.5008803
